Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
RZ1,RP2040-Zero,RP2040-Zero,96.119935,-75.387852,0.0,top
SW1,SW_SPST,SW_Cherry_MX_1.00u_PCB,98.329935,-99.728942,-90.0,top
SW2,SW_SPST,SW_Cherry_MX_1.00u_PCB,98.329935,-118.778942,-90.0,top
SW3,SW_SPST,SW_Cherry_MX_1.00u_PCB,98.329935,-137.828942,-90.0,top
